ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521111,4.611051,6.489656,4.588951,15.98896,0.2664912,3.105102,0.1107851,ACCELERATE
-1,6.520813,4.610975,6.489954,4.589026,15.98905,0.2732851,3.105076,0.2094369,ACCELERATE
-1,6.520635,4.610859,6.490131,4.589142,15.98918,0.2751237,3.106786,0.3168588,ACCELERATE
-1,6.520397,4.610691,6.49037,4.58931,15.98932,0.2753841,3.108137,0.4006313,ACCELERATE
-1,6.520141,4.610511,6.490626,4.58949,15.9895,0.275429,3.109624,0.5001705,ACCELERATE
-1,6.519856,4.610311,6.49091,4.589691,15.9897,0.2754314,3.110981,0.6010943,ACCELERATE
-1,6.519547,4.610092,6.49122,4.589909,15.98991,0.2754314,3.112209,0.7032274,ACCELERATE
-1,6.519233,4.60987,6.491534,4.590131,15.99014,0.2754334,3.113275,0.8028872,ACCELERATE
-1,6.5189,4.609634,6.491867,4.590367,15.99037,0.2754341,3.114219,0.9033282,NONE
-1,6.518569,4.6094,6.492198,4.590601,15.99061,0.2754319,3.115018,1.000865,ACCELERATE
-1,6.518521,4.609334,6.492245,4.590667,15.99067,0.2754319,3.115737,1.103909,ACCELERATE
-1,6.518522,4.609333,6.492245,4.590668,15.99067,0.2754343,3.116305,1.201033,ACCELERATE
-1,6.518502,4.609329,6.492265,4.590672,15.99067,0.2754298,3.116777,1.300456,ACCELERATE
-1,6.5185,4.609328,6.492267,4.590673,15.99067,0.2754287,3.117149,1.401822,ACCELERATE
-1,6.518504,4.609328,6.492263,4.590673,15.99067,0.275431,3.117412,1.501849,ACCELERATE
-1,6.518503,4.609327,6.492264,4.590674,15.99067,0.2754296,3.117576,1.602949,ACCELERATE
-1,6.5185,4.609325,6.492267,4.590676,15.99067,0.2754285,3.11764,1.70216,ACCELERATE
-1,6.518501,4.609325,6.492266,4.590676,15.99067,0.2754276,3.11761,1.80196,ACCELERATE
-1,6.518502,4.609325,6.492265,4.590676,15.99067,0.2754296,3.117495,1.901684,ACCELERATE
-1,6.518502,4.609325,6.492265,4.590676,15.99068,0.2754282,3.117285,2.002098,NONE
-1,6.518503,4.609325,6.492264,4.590676,15.99068,0.2754288,3.116989,2.102967,ACCELERATE
-1,6.518504,4.609325,6.492263,4.590676,15.99067,0.2754307,3.116621,2.200556,ACCELERATE
-1,6.518504,4.609325,6.492262,4.590676,15.99067,0.2754326,3.116161,2.301872,ACCELERATE
-1,6.518505,4.609325,6.492262,4.590676,15.99067,0.2754299,3.115633,2.401167,ACCELERATE
-1,6.518506,4.609325,6.492261,4.590676,15.99067,0.2754304,3.115031,2.500453,ACCELERATE
-1,6.518506,4.609325,6.492261,4.590676,15.99067,0.2754301,3.114352,2.60061,ACCELERATE
-1,6.518507,4.609325,6.49226,4.590676,15.99067,0.2754275,3.113595,2.702219,ACCELERATE
-1,6.518508,4.609325,6.49226,4.590676,15.99068,0.2754304,3.112787,2.801512,ACCELERATE
-1,6.518508,4.609325,6.492259,4.590676,15.99067,0.2754318,3.111913,2.900803,ACCELERATE
-1,6.518516,4.60933,6.492251,4.590671,15.99067,0.275429,3.110973,3.000647,ACCELERATE
-1,6.518497,4.609317,6.49227,4.590684,15.99068,0.2754276,3.10998,3.100138,ACCELERATE
-1,6.518498,4.609317,6.492269,4.590684,15.99068,0.275428,3.108889,3.202821,ACCELERATE
-1,6.5185,4.609318,6.492267,4.590683,15.99068,0.2754286,3.107772,3.302814,ACCELERATE
-1,6.518508,4.609324,6.492258,4.590678,15.99068,0.275428,3.106628,3.40038,ACCELERATE
-1,6.518508,4.609323,6.492259,4.590679,15.99068,0.2754287,3.10538,3.502296,ACCELERATE
-1,6.51851,4.609324,6.492257,4.590678,15.99068,0.2754306,3.104102,3.602234,ACCELERATE
