ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521987,4.611084,6.488787,4.588917,15.98892,0.2608014,3.105316,0.1038173,NONE
-1,6.522381,4.611081,6.488394,4.58892,15.98892,0.2715884,3.105161,0.2022965,NONE
-1,6.522397,4.611075,6.488379,4.588926,15.98892,0.2748961,3.105131,0.3020155,NONE
-1,6.522392,4.611071,6.488383,4.588931,15.98893,0.2756295,3.105125,0.4055417,NONE
-1,6.522384,4.611065,6.488391,4.588936,15.98894,0.2757361,3.105121,0.5031438,NONE
-1,6.522379,4.611061,6.488396,4.58894,15.98894,0.2757474,3.10513,0.6023267,NONE
-1,6.52237,4.611055,6.488404,4.588946,15.98895,0.2757448,3.10513,0.7029987,NONE
-1,6.522366,4.611052,6.48841,4.58895,15.98895,0.2757441,3.105135,0.8030536,NONE
-1,6.522358,4.611046,6.488418,4.588955,15.98895,0.2757435,3.105135,0.9071208,NONE
-1,6.52235,4.61104,6.488426,4.588961,15.98896,0.2757437,3.105135,1.002914,NONE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757437,3.105135,1.104646,NONE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757437,3.105135,1.205956,NONE
-1,6.52235,4.61104,6.488426,4.588961,15.98896,0.2757437,3.105135,1.304866,NONE
-1,6.52235,4.61104,6.488426,4.588961,15.98896,0.2757437,3.105135,1.40661,NONE
-1,6.52235,4.61104,6.488426,4.588961,15.98896,0.2757436,3.105135,1.504505,ACCELERATE
-1,6.522347,4.611038,6.488429,4.588963,15.98896,0.2757436,3.105135,1.601247,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757437,3.105135,1.70235,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757436,3.105135,1.802192,ACCELERATE
-1,6.522347,4.611038,6.488429,4.588963,15.98896,0.2757437,3.105135,1.904946,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757437,3.105135,2.001987,ACCELERATE
-1,6.52235,4.61104,6.488426,4.588961,15.98896,0.2757437,3.105135,2.102243,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757436,3.105135,2.20278,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757436,3.105135,2.303892,ACCELERATE
-1,6.522347,4.611038,6.488429,4.588963,15.98896,0.2757436,3.105135,2.405763,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757437,3.105135,2.503185,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757436,3.105135,2.601478,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757436,3.105135,2.702723,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757437,3.105135,2.805788,ACCELERATE
-1,6.52235,4.61104,6.488426,4.588961,15.98896,0.2757436,3.105135,2.903103,ACCELERATE
-1,6.52235,4.61104,6.488426,4.588961,15.98896,0.2757436,3.105135,3.004263,ACCELERATE
-1,6.52236,4.611041,6.488414,4.58896,15.98896,0.2757342,3.122793,3.106082,ACCELERATE
-1,6.522459,4.611065,6.488316,4.588936,15.98893,0.275709,3.267649,3.204817,ACCELERATE
-1,6.522615,4.611121,6.48816,4.58888,15.98887,0.2756994,3.550956,3.303493,ACCELERATE
-1,6.522831,4.611214,6.487944,4.588788,15.98878,0.2756962,3.983188,3.405801,ACCELERATE
-1,6.523249,4.611366,6.487528,4.588635,15.98862,0.2823084,4.522454,3.505875,ACCELERATE
-1,6.523663,4.611568,6.487116,4.588434,15.98842,0.2788837,5.154778,3.601861,ACCELERATE
-1,6.524035,4.611813,6.486743,4.588189,15.98817,0.2796371,5.945297,3.70464,ACCELERATE
