ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.522174,4.611084,6.4886,4.588917,15.98892,0.2638293,3.105267,0.1035839,NONE
-1,6.522388,4.611079,6.488386,4.588922,15.98892,0.2725704,3.10515,0.2008029,NONE
-1,6.522396,4.611074,6.488379,4.588927,15.98893,0.2751574,3.105128,0.3030287,NONE
-1,6.522388,4.611068,6.488388,4.588933,15.98893,0.2756686,3.105129,0.4046374,NONE
-1,6.522382,4.611064,6.488392,4.588937,15.98894,0.2757406,3.105128,0.5010574,NONE
-1,6.522376,4.611059,6.488399,4.588942,15.98894,0.2757467,3.105137,0.6055443,NONE
-1,6.522367,4.611053,6.488407,4.588948,15.98895,0.2757445,3.105137,0.7003748,NONE
-1,6.522363,4.61105,6.488412,4.588952,15.98895,0.2757453,3.105158,0.8052213,NONE
-1,6.522356,4.611045,6.488419,4.588956,15.98896,0.2757441,3.105177,0.9004402,NONE
-1,6.522349,4.61104,6.488426,4.588961,15.98896,0.2757433,3.105192,1.003955,NONE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757443,3.105217,1.104438,NONE
-1,6.522346,4.611038,6.488429,4.588963,15.98896,0.2757444,3.105241,1.201346,NONE
-1,6.522346,4.611038,6.488429,4.588963,15.98896,0.2757444,3.105265,1.300635,NONE
-1,6.522347,4.611038,6.488429,4.588963,15.98896,0.2757441,3.10529,1.40565,NONE
-1,6.522346,4.611038,6.488429,4.588963,15.98896,0.2757443,3.105315,1.503818,NONE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.275744,3.105338,1.601915,NONE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757443,3.105363,1.701008,NONE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.275744,3.105388,1.802698,NONE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757443,3.105411,1.903061,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757443,3.105433,2.00018,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757449,3.105457,2.10519,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757443,3.105477,2.200842,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757439,3.105498,2.303996,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757441,3.105521,2.401531,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757443,3.105546,2.504252,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.275744,3.105566,2.604845,ACCELERATE
